staging.directvplay.com,dtv-cert.tbxnet.com,Subdomain Takeover,High
webmail.directvplaypr.com,https://webmail.directvplaypr.com:2087/,No WAF implemented,High
autoconfig.directvplaypr.com,https://autoconfig.directvplaypr.com:2087/,No WAF implemented,High
directvplaypr.com,https://directvplaypr.com:2087/,No WAF implemented,High
azimutsales.directvla.com.ec,https://azimutsales.directvla.com.ec/,No WAF implemented,High
cpanel.directvplaypr.com,https://cpanel.directvplaypr.com/,No WAF implemented,High
autodiscover.directvplaypr.com,https://autodiscover.directvplaypr.com:2087/,No WAF implemented,High
whm.directvplaypr.com,https://whm.directvplaypr.com:2087/,No WAF implemented,High
webdisk.directvplaypr.com,https://webdisk.directvplaypr.com:2087/,No WAF implemented,High
vriocorp.com,https://vriocorp.com/,No WAF implemented,High
cpanel.directvplaypr.com,https://cpanel.directvplaypr.com:2087/,No WAF implemented,High
oncontact.directvla.com.ec,https://oncontact.directvla.com.ec/,No WAF implemented,High
sso.vriocorp.com,https://sso.vriocorp.com/,No WAF implemented,High
webmail.directvplaypr.com,https://webmail.directvplaypr.com/,No WAF implemented,High
caribbean.dtvlaweb.com,https://caribbean.dtvlaweb.com/,No WAF implemented,High
peru.dtvlaweb.com,http://peru.dtvlaweb.com,Phishing,low
peru.dtvlaweb.com,http://peru.dtvlaweb.com/robots.txt,Phishing,low
peru.dtvlaweb.com,https://peru.dtvlaweb.com/Midirectv/mi-plan,Phishing,low
peru.dtvlaweb.com,https://peru.dtvlaweb.com/Midirectv/registration,Phishing,low
peru.dtvlaweb.com,https://peru.dtvlaweb.com/informacion-usuarios-abonados,Phishing,low
peru.dtvlaweb.com,https://peru.dtvlaweb.com/informacion-usuarios-abonados/,Phishing,low
peru.dtvlaweb.com,https://peru.dtvlaweb.com/noticias,Phishing,low
peru.dtvlaweb.com,https://peru.dtvlaweb.com/noticias/,Phishing,low
peru.dtvlaweb.com,https://peru.dtvlaweb.com/puntos-de-atencion/index.aspx,Phishing,low
peru.dtvlaweb.com,https://peru.dtvlaweb.com/robots.txt,Phishing,low
sd.directv.com.co,https://sd.directv.com.co/robots.txt,Phishing,low
directvla.com,http://directvla.com/,Phishing,low
directvla.com,http://directvla.com/%22/wEPDwUJNTYwNzM5MTc5D2QWAgIBD2QWGgIBDxYCHglpbm5lcmh0bWwFCS9saWdhQkJWQWQCAw9kFgICAw8WAh4EaHJlZgX4Amh0dHA6Ly93d3cuZGlyZWN0di5jb20uYXIvcHJvZ3JhbWFjaW9uL2xpZ2EtZXNwYW5vbGEvaW5kZXg/fi93RVBEd1VKTFRFNU1EY3lPVFl3RDJRV0FnSUREMlFXQWdJREQyUVdCZ0lCRHhZRUhnVmpiR0Z6Y3dVSFkzVnljbVZ1ZEI0SmFXNXVaWEpvZEcxc0JROUtkVzUwWVNCRWFYSmxZM1JwZG1Ga0FnY1BGZ0lmQVFVMFBHRWdhSEpsWmowblkyOTFiblJ5YVdWekxtRnpjSGcvZFhKc1puSnZiVDB2Wlcxd2JHVnZKejVGYlhCc1pXOXpQQzloUG1RQ0NROFdBaDhCQlQ0OFlTQm9jbVZtUFNkamIzVnVkSEpwWlhNdVlYTndlRDkxY214bWNtOXRQUzlqYjI1MFlXTjBaVzV2Y3ljK1EyOXVkTU9oWTNSbGJtOXpQQzloUG1Sa2J3VjBNYmNXZ3VOTC9sTC9GdU5JVWJTRmFqMD1kAgUPZBYCAgMPFgIfAQXdAmh0dHA6Ly93d3cuZGlyZWN0dmNhcmliYmVhbi5jb20/fi93RVBEd1VKTFRFNU1EY3lPVFl3RDJRV0FnSUREMlFXQWdJREQyUVdCZ0lCRHhZRUhnVmpiR0Z6Y3dVSFkzVnljbVZ1ZEI0SmFXNXVaWEpvZEcxc0JROUtkVzUwWVNCRWFYSmxZM1JwZG1Ga0FnY1BGZ0lmQVFVMFBHRWdhSEpsWmowblkyOTFiblJ5YVdWekxtRnpjSGcvZFhKc1puSnZiVDB2Wlcxd2JHVnZKejVGYlhCc1pXOXpQQzloUG1RQ0NROFdBaDhCQlQ0OFlTQm9jbVZtUFNkamIzVnVkSEpwWlhNdVlYTndlRDkxY214bWNtOXRQUzlqYjI1MFlXTjBaVzV2Y3ljK1EyOXVkTU9oWTNSbGJtOXpQQzloUG1Sa2J3VjBNYmNXZ3VOTC9sTC9GdU5JVWJTRmFqMD1kAgcPZBYCAgMPFgIfAQXdAmh0dHA6Ly93d3cuZGlyZWN0dmNhcmliYmVhbi5jb20/fi93RVBEd1VKTFRFNU1EY3lPVFl3RDJRV0FnSUREMlFXQWdJREQyUVdCZ0lCRHhZRUhnVmpiR0Z6Y3dVSFkzVnljbVZ1ZEI0SmFXNXVaWEpvZEcxc0JROUtkVzUwWVNCRWFYSmxZM1JwZG1Ga0FnY1BGZ0lmQVFVMFBHRWdhSEpsWmowblkyOTFiblJ5YVdWekxtRnpjSGcvZFhKc1puSnZiVDB2Wlcxd2JHVnZKejVGYlhCc1pXOXpQQzloUG1RQ0NROFdBaDhCQlQ0OFlTQm9jbVZtUFNkamIzVnVkSEpwWlhNdVlYTndlRDkxY214bWNtOXRQUzlqYjI1MFlXTjBaVzV2Y3ljK1EyOXVkTU9oWTNSbGJtOXpQQzloUG1Sa2J3VjBNYmNXZ3VOTC9sTC9GdU5JVWJTRmFqMD1kAgkPZBYCAgMPFgIfAQXdAmh0dHA6Ly93d3cuZGlyZWN0dmNhcmliYmVhbi5jb20/fi93RVBEd1VKTFRFNU1EY3lPVFl3RDJRV0FnSUREMlFXQWdJREQyUVdCZ0lCRHhZRUhnVmpiR0Z6Y3dVSFkzVnljbVZ1ZEI0SmFXNXVaWEpvZEcxc0JROUtkVzUwWVNCRWFYSmxZM1JwZG1Ga0FnY1BGZ0lmQVFVMFBHRWdhSEpsWmowblkyOTFiblJ5YVdWekxtRnpjSGcvZFhKc1puSnZiVDB2Wlcxd2JHVnZKejVGYlhCc1pXOXpQQzloUG1RQ0NROFdBaDhCQlQ0OFlTQm9jbVZtUFNkamIzVnVkSEpwWlhNdVlYTndlRDkxY214bWNtOXRQUzlqYjI1MFlXTjBaVzV2Y3ljK1EyOXVkTU9oWTNSbGJtOXpQQzloUG1Sa2J3VjBNYmNXZ3VOTC9sTC9,Phishing,low
directvla.com,http://directvla.com/%2fcountries.aspx%3furlfrom%3d%2fcinema,Phishing,low
directvla.com,http://directvla.com/%2fcountries.aspx%3furlfrom%3d%2fdvrscheduler,Phishing,low
directvla.com,http://directvla.com/2.65,Phishing,low
directvla.com,http://directvla.com/DIRECTV_files/banner_escuelaplus.jpg,Phishing,low
directvla.com,http://directvla.com/DIRECTV_files/directv_es.htm,Phishing,low
directvla.com,http://directvla.com/DIRECTV_files/flashobject.js,Phishing,low
directvla.com,http://directvla.com/DIRECTV_files/general.css,Phishing,low
directvla.com,http://directvla.com/DIRECTV_files/img_prog.gif,Phishing,low
directvla.com,http://directvla.com/DIRECTV_files/logo.png,Phishing,low
directvla.com,http://directvla.com/DIRECTV_files/tit_directvla.png,Phishing,low
directvla.com,http://directvla.com/DIRECTV_files/tit_novedades_en.png,Phishing,low
directvla.com,http://directvla.com/DIRECTV_files/tit_novedades_po.png,Phishing,low
directvla.com,http://directvla.com/DIRECTV_files/tit_perfil.png,Phishing,low
directvla.com,http://directvla.com/DIRECTV_files/tit_perfil_en.png,Phishing,low
directvla.com,http://directvla.com/DIRECTV_files/tit_perfil_po.png,Phishing,low
directvla.com,http://directvla.com/DIRECTV_files/title.gif,Phishing,low
directvla.com,http://directvla.com/Microsoft.XMLHTTP,Phishing,low
directvla.com,http://directvla.com/ShockwaveFlash.ShockwaveFlash,Phishing,low
directvla.com,http://directvla.com/_Incapsula_Resource?SWHANEDL=4221955425491713891,1231659243366537487,2898739258387844676,140052,Phishing,low
directvla.com,http://directvla.com/_Incapsula_Resource?SWHANEDL=4959164653845678770,5518031825005434311,15594944725797718843,877801,Phishing,low
directvla.com,http://directvla.com/_Incapsula_Resource?SWHANEDL=7315538047597187378%2C1822747256704024378%2C14045638159938807893%2C511227,Phishing,low
directvla.com,http://directvla.com/_Incapsula_Resource?SWJIYLWA=2977d8d74f63d7f8fedbea018b7a1d05,Phishing,low
directvla.com,http://directvla.com/_Incapsula_Resource?SWJIYLWA=719d34d31c8e3a6e6fffd425f7e032f3,Phishing,low
directvla.com,http://directvla.com/access,Phishing,low
directvla.com,http://directvla.com/ads.txt,Phishing,low
directvla.com,http://directvla.com/application/x-shockwave-flash,Phishing,low
directvla.com,http://directvla.com/application/x-www-form-urlencoded,Phishing,low
directvla.com,http://directvla.com/bbva,Phishing,low
directvla.com,http://directvla.com/cinema,Phishing,low
directvla.com,http://directvla.com/contactenos,Phishing,low
directvla.com,http://directvla.com/countries.aspx?urlfrom=/Rejected-By-UrlScan,Phishing,low
directvla.com,http://directvla.com/countries.aspx?urlfrom=/access,Phishing,low
directvla.com,http://directvla.com/countries.aspx?urlfrom=/directvcinemaplus,Phishing,low
directvla.com,http://directvla.com/countries.aspx?urlfrom=/directvcinemaplusbeca,Phishing,low
directvla.com,http://directvla.com/countries.aspx?urlfrom=/directvcinemaplusbecas,Phishing,low
directvla.com,http://directvla.com/countries.aspx?urlfrom=/empleo,Phishing,low
directvla.com,http://directvla.com/countries.aspx?urlfrom=/ligaitaliana,Phishing,low
directvla.com,http://directvla.com/countries.aspx?urlfrom=/undefined,Phishing,low
directvla.com,http://directvla.com/countries.aspx?urlfrom=/wEPDwUJNTYwNzM5MTc5D2QWAgIBD2QWAgIBDxYCHglpbm5lcmh0bWwFFC9SZWplY3RlZC1CeS1VcmxTY2FuZGQ=,Phishing,low
directvla.com,http://directvla.com/countries.aspx?urlfrom=/wEPDwUJNTYwNzM5MTc5D2QWAgIBD2QWAgIBDxYCHglpbm5lcmh0bWwFFC9SZWplY3RlZC1CeS1VcmxTY2FuZGSDqhQYQsayFU%20XTAReGMAOiFHbZA==,Phishing,low
directvla.com,http://directvla.com/countries.aspx?urlfrom=/wEPDwUJNTYwNzM5MTc5D2QWAgIBD2QWAgIBDxYCHglpbm5lcmh0bWwFFC9SZWplY3RlZC1CeS1VcmxTY2FuZGSDqhQYQsayFU+XTAReGMAOiFHbZA==,Phishing,low
directvla.com,http://directvla.com/countries.aspx?urlfrom=/wEPDwUJNTYwNzM5MTc5D2QWAgIBD2QWAgIBDxYCHglpbm5lcmh0bWwFFC9SZWplY3RlZC1CeS1VcmxTY2FuZGSwTzh4clojMPx0li6Fm02IfDqQew==,Phishing,low
directvla.com,http://directvla.com/countries.aspx?urlfrom=/wEPDwUJNTYwNzM5MTc5D2QWAgIBD2QWAgIBDxYCHglpbm5lcmh0bWwFFC9SZWplY3RlZC1CeS1VcmxTY2FuZGTyKjf8OEZ%20z7Wxto3alAHqmppNRg==,Phishing,low
directvla.com,http://directvla.com/countries.aspx?urlfrom=/wEPDwUJNTYwNzM5MTc5D2QWAgIBD2QWAgIBDxYCHglpbm5lcmh0bWwFFC9SZWplY3RlZC1CeS1VcmxTY2FuZGTyKjf8OEZ+z7Wxto3alAHqmppNRg==,Phishing,low
directvla.com,http://directvla.com/countries.aspx?urlfrom=/wEPDwUJNTYwNzM5MTc5D2QWAgIBD2QWAgIBDxYCHglpbm5lcmh0bWwFWC93RVBEd1VKTlRZd056TTVNVGM1RDJRV0FnSUJEMlFXQWdJQkR4WUNIZ2xwYm01bGNtaDBiV3dGRkM5U1pXcGxZM1JsWkMxQ2VTMVZjbXhUWTJGdVpHUT1kZA==,Phishing,low
directvla.com,http://directvla.com/countries.aspx?urlfrom=/wEPDwUJNTYwNzM5MTc5D2QWAgIBD2QWAgIBDxYCHglpbm5lcmh0bWwFdC93RVBEd1VKTlRZd056TTVNVGM1RDJRV0FnSUJEMlFXQWdJQkR4WUNIZ2xwYm01bGNtaDBiV3dGRkM5U1pXcGxZM1JsWkMxQ2VTMVZjbXhUWTJGdVpHU0RxaFFZUXNheUZVIFhUQVJlR01BT2lGSGJaQT09ZGS0l4f6lJXdAhVLXIyRpPsjfqkaug==,Phishing,low
directvla.com,http://directvla.com/countries.aspx?urlfrom=/wEPDwUJNTYwNzM5MTc5D2QWAgIBD2QWAgIBDxYCHglpbm5lcmh0bWwFdC93RVBEd1VKTlRZd056TTVNVGM1RDJRV0FnSUJEMlFXQWdJQkR4WUNIZ2xwYm01bGNtaDBiV3dGRkM5U1pXcGxZM1JsWkMxQ2VTMVZjbXhUWTJGdVpHU3dUemg0Y2xvak1QeDBsaTZGbTAySWZEcVFldz09ZGQ1ZtOhM8cJ8Lg7Tty3iFsaxW+wJg==,Phishing,low
